,Date/Time,Lat,Lon,Base,date,month,week,MonthDayNum,HourOfDay,DayOfWeekNum,DayOfWeek,Time,labels,labels_DBSCAN
300846,2014-06-06 01:05:00,40.6887,-73.9852,B02617,2014-06-06,6,23,6,1,5,Friday,Friday-1,1,0
660931,2014-06-20 01:17:00,40.6958,-73.9635,B02764,2014-06-20,6,25,20,1,5,Friday,Friday-1,1,0
135665,2014-06-13 01:39:00,40.7716,-73.9826,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,2,0
543072,2014-06-13 01:56:00,40.7035,-74.0109,B02682,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
342301,2014-06-13 01:04:00,40.7603,-73.9655,B02617,2014-06-13,6,24,13,1,5,Friday,Friday-1,2,0
433842,2014-06-27 01:19:00,40.7586,-73.979,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,2,0
543056,2014-06-13 01:44:00,40.7316,-73.9894,B02682,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
135596,2014-06-13 01:05:00,40.7378,-74.0309,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
135618,2014-06-13 01:15:00,40.7397,-74.0022,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
342314,2014-06-13 01:08:00,40.7194,-74.0052,B02617,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
74487,2014-06-06 01:35:00,40.7334,-74.0085,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
632468,2014-06-27 01:03:00,40.6483,-73.7824,B02682,2014-06-27,6,26,27,1,5,Friday,Friday-1,4,0
135649,2014-06-13 01:28:00,40.7167,-73.9656,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,1,0
589086,2014-06-20 01:14:00,40.7844,-73.9833,B02682,2014-06-20,6,25,20,1,5,Friday,Friday-1,2,0
542994,2014-06-13 01:04:00,40.7389,-73.9945,B02682,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
135642,2014-06-13 01:25:00,40.7409,-74.0073,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
493255,2014-06-06 01:29:00,40.7317,-73.9892,B02682,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
386131,2014-06-20 01:36:00,40.7406,-74.0057,B02617,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
193263,2014-06-20 01:01:00,40.7522,-73.9994,B02598,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
543038,2014-06-13 01:30:00,40.7406,-74.0057,B02682,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
74497,2014-06-06 01:42:00,40.7155,-74.0093,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
